,Patient,Gene1,Gene2,Edge,Curvature,Response
65,C32_SKIN,GRB2,EGFR,GRB2;EGFR,0.5448530439899248,0
66,C32_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.5527598969104612,0
67,C32_SKIN,GRB2,SRC,GRB2;SRC,0.6192402595948695,0
68,C32_SKIN,GRB2,SHC3,GRB2;SHC3,0.5251154517215416,0
69,C32_SKIN,GRB2,SOS1,GRB2;SOS1,0.45667685337102326,0
70,C32_SKIN,SRC,ERBB3,SRC;ERBB3,0.6125253379965528,0
71,C32_SKIN,SRC,ERBB2,SRC;ERBB2,0.564954733752727,0
72,C32_SKIN,SRC,EGFR,SRC;EGFR,0.5178546822303353,0
73,C32_SKIN,SRC,SOS1,SRC;SOS1,0.4110049243825893,0
74,C32_SKIN,SRC,SHC3,SRC;SHC3,0.480076631851064,0
75,C32_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.6316907072388062,0
76,C32_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.3707918060898331,0
77,C32_SKIN,ERBB2,SHC3,ERBB2;SHC3,0.29364557020869775,0
78,C32_SKIN,EGFR,ERBB3,EGFR;ERBB3,0.4890310176061643,0
79,C32_SKIN,EGFR,SHC3,EGFR;SHC3,0.0,0
80,C32_SKIN,EGFR,SOS1,EGFR;SOS1,-0.05509073644793294,0
81,C32_SKIN,NTRK2,SHC3,NTRK2;SHC3,0.0,0
82,C32_SKIN,SOS1,SHC3,SOS1;SHC3,-0.2216951684896158,0
83,C32_SKIN,ERBB3,SHC3,ERBB3;SHC3,0.45996892296922387,0
84,CJM_SKIN,GRB2,ERBB3,GRB2;ERBB3,0.5459402701131042,0
85,CJM_SKIN,GRB2,ERBB2,GRB2;ERBB2,0.5478006751329974,0
86,CJM_SKIN,GRB2,EGFR,GRB2;EGFR,0.6017401763739063,0
87,CJM_SKIN,GRB2,NTRK2,GRB2;NTRK2,0.37826155869961176,0
88,CJM_SKIN,GRB2,SRC,GRB2;SRC,0.6022124644901152,0
89,CJM_SKIN,GRB2,SHC3,GRB2;SHC3,0.5207986444050194,0
90,CJM_SKIN,GRB2,SOS1,GRB2;SOS1,0.4609985059376186,0
91,CJM_SKIN,SRC,ERBB3,SRC;ERBB3,0.586776211914664,0
92,CJM_SKIN,SRC,ERBB2,SRC;ERBB2,0.5880459552913244,0
93,CJM_SKIN,SRC,EGFR,SRC;EGFR,0.630706888130344,0
94,CJM_SKIN,SRC,SOS1,SRC;SOS1,0.519921426682322,0
95,CJM_SKIN,SRC,SHC3,SRC;SHC3,0.5281451446118819,0
96,CJM_SKIN,ERBB2,ERBB3,ERBB2;ERBB3,0.5873562353514861,0
97,CJM_SKIN,ERBB2,EGFR,ERBB2;EGFR,0.5867256135862648,0
