,Patient,Gene1,Gene2,Edge,Curvature,Response
130,HCC1195_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.2419226853293578,0
131,HCC1195_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-2.656596457046399,0
132,HCC1195_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.4340470159993278,0
133,HCC1833_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.08659832599932726,0
134,HCC1833_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-0.3660858456253473,0
135,HCC1833_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.39358414891675764,0
136,HCC1833_LUNG,FN1,IGFBP3,FN1;IGFBP3,-0.0563560156321079,0
137,HCC1833_LUNG,IGF1R,INSR,IGF1R;INSR,-0.2448210748189139,0
138,HCC1833_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-0.9991653970367589,0
139,HCC1833_LUNG,IGF1R,IGF2,IGF1R;IGF2,-1.4754821161324956,0
140,HCC1833_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.16135162925486213,0
141,HCC1833_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,-3.069121589399752,0
142,HCC1833_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,-0.17117652047824428,0
143,HCC1833_LUNG,IGF2,IDE,IGF2;IDE,-0.010541397746899994,0
144,HCC1833_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,-0.5835550038111772,0
145,HCC1833_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.0,0
146,HCC1833_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.15426615669248545,0
147,HCC1833_LUNG,IGF2,INSR,IGF2;INSR,-0.8904776430242156,0
148,HCC1833_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-1.7501301643026679,0
149,HCC1833_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,-0.0408530595738279,0
150,HCC1833_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-1.102722786970046,0
151,HCC1833_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.6410205686259591,0
152,HCC2108_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.06201442240844102,0
153,HCC2108_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-0.003240878004175052,0
154,HCC2108_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.5096841509724443,0
155,HCC2108_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.49758188463737485,0
156,HCC2108_LUNG,IGF1R,INSR,IGF1R;INSR,0.0342485504417358,0
157,HCC2108_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-0.16484038184208227,0
158,HCC2108_LUNG,IGF1R,IGF2,IGF1R;IGF2,-0.3030518036885823,0
159,HCC2108_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-3.0080818299623155,0
160,HCC2108_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,-2.857861749464287,0
161,HCC2108_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.21907303564569514,0
162,HCC2108_LUNG,IGF2,IDE,IGF2;IDE,-0.022500675432790107,0
163,HCC2108_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.3368258758462671,0
164,HCC2108_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,-1.8372789307101836,0
165,HCC2108_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.259059164513756,0
166,HCC2108_LUNG,IGF2,INSR,IGF2;INSR,-1.2946859390609085,0
167,HCC2108_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-2.1405707971575043,0
168,HCC2108_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.08564013085399802,0
