,Patient,Gene1,Gene2,Edge,Curvature,Response
294,HOP62_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.038288405977961126,1
295,HOP62_LUNG,IGF2,IDE,IGF2;IDE,-0.09143762763157293,1
296,HOP62_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.3563819123442382,1
297,HOP62_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.2150934237809099,1
298,HOP62_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.17144851389460558,1
299,HOP62_LUNG,IGF2,INSR,IGF2;INSR,-1.2760155858152538,1
300,HOP62_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-1.7979275730297353,1
301,HOP62_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.14141794000053398,1
302,HOP62_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-1.7651640897613445,1
303,HOP62_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.17140619749195052,1
304,LXF289_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.18490150572788777,0
305,LXF289_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.2329968247600741,0
306,LXF289_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6861023545823997,0
307,LXF289_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.4285856046894436,0
308,LXF289_LUNG,IGF1R,INSR,IGF1R;INSR,-0.4920268145667106,0
309,LXF289_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-1.8444282533671905,0
310,LXF289_LUNG,IGF1R,IGF2,IGF1R;IGF2,-1.7225802616820034,0
311,LXF289_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-0.38882830940119617,0
312,LXF289_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
313,LXF289_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.15691516054346544,0
314,LXF289_LUNG,IGF2,IDE,IGF2;IDE,-0.07712677609241236,0
315,LXF289_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.3443441011435847,0
316,LXF289_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.18376594458598494,0
317,LXF289_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,-0.05003070992413372,0
318,LXF289_LUNG,IGF2,INSR,IGF2;INSR,-2.5759561651347185,0
319,LXF289_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-7.768139820349351,0
320,LXF289_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.1575242941074052,0
321,LXF289_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-7.421881639641699,0
322,LXF289_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.3660507854113403,0
323,MORCPR_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.16261748156670652,0
324,MORCPR_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,-0.36753483254225694,0
325,MORCPR_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6046142327191792,0
326,MORCPR_LUNG,FN1,IGFBP3,FN1;IGFBP3,-0.5996985819026974,0
327,MORCPR_LUNG,IGF1R,INSR,IGF1R;INSR,0.5871853825662354,0
328,MORCPR_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,0.22452546510036275,0
329,MORCPR_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.001942822732889371,0
330,MORCPR_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.33842398688295783,0
331,MORCPR_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
332,MORCPR_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.2847045937583823,0
333,MORCPR_LUNG,IGF2,IDE,IGF2;IDE,0.08426630561700144,0
334,MORCPR_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,-0.5401319797720221,0
335,MORCPR_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.0,0
336,MORCPR_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.0,0
337,MORCPR_LUNG,IGF2,INSR,IGF2;INSR,-0.8464461915033787,0
338,MORCPR_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-5.660816891381784,0
339,MORCPR_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.07374261754450517,0
340,MORCPR_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,0.0,0
341,MORCPR_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.5573850991544058,0
342,PC14_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.0,1
343,PC14_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.1539036561527828,1
344,PC14_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6961702383894934,1
345,PC14_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.27773296752707644,1
346,PC14_LUNG,IGF1R,INSR,IGF1R;INSR,0.0,1
347,PC14_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-5.129519714998932,1
348,PC14_LUNG,IGF1R,IGF2,IGF1R;IGF2,0.0,1
349,PC14_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,0.16689694967661883,1
350,PC14_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,1
351,PC14_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,0.06492176522571225,1
352,PC14_LUNG,IGF2,IDE,IGF2;IDE,0.0,1
353,PC14_LUNG,IGF2,IGFBP4,IGF2;IGFBP4,0.17956011165948438,1
354,PC14_LUNG,IGF2,IGFBP7,IGF2;IGFBP7,0.09098120561268486,1
355,PC14_LUNG,IGF2,IGFBP6,IGF2;IGFBP6,0.22544211681426385,1
356,PC14_LUNG,IGF2,INSR,IGF2;INSR,0.0,1
357,PC14_LUNG,IGF2,IGFBP3,IGF2;IGFBP3,-9.045135545570204,1
358,PC14_LUNG,IGF2,IGF2BP2,IGF2;IGF2BP2,0.025129085895869818,1
359,PC14_LUNG,IGFBP5,IGFBP3,IGFBP5;IGFBP3,-7.0044989005681995,1
360,PC14_LUNG,IGFBP3,TMEM219,IGFBP3;TMEM219,0.5131035717065693,1
361,RERFLCAD1_LUNG,IGF2R,IGF2,IGF2R;IGF2,0.13870384506971645,0
362,RERFLCAD1_LUNG,EGFR,IGFBP3,EGFR;IGFBP3,0.024067596518153045,0
363,RERFLCAD1_LUNG,EGFR,IGF1R,EGFR;IGF1R,0.6778076396702136,0
364,RERFLCAD1_LUNG,FN1,IGFBP3,FN1;IGFBP3,0.5921148629401713,0
365,RERFLCAD1_LUNG,IGF1R,INSR,IGF1R;INSR,-0.14729821762334505,0
366,RERFLCAD1_LUNG,IGF1R,IGFBP3,IGF1R;IGFBP3,-1.9400295937749439,0
367,RERFLCAD1_LUNG,IGF1R,IGF2,IGF1R;IGF2,-1.7758551749378118,0
368,RERFLCAD1_LUNG,IGFBP2,IGF2,IGFBP2;IGF2,-0.012901569651631029,0
369,RERFLCAD1_LUNG,IGF2,IGFBP5,IGF2;IGFBP5,0.0,0
370,RERFLCAD1_LUNG,IGF2,IGF2BP3,IGF2;IGF2BP3,-0.28662755477792,0
371,RERFLCAD1_LUNG,IGF2,IDE,IGF2;IDE,-0.17886225695370483,0
